商家名,商圈,类型,评分,城市,人均价格
阿嫂印象,大学城,川菜馆,9.1,重庆,63
酒歌小酌首创国粹文化酒馆,大坪,川菜馆,9.066666666666668,重庆,63
苗厨人家,观音桥,川菜馆,9.0,重庆,67
八嬢家常菜,南坪,川菜馆,8.466666666666667,重庆,72
歌乐山辣子鸡,解放碑,川菜馆,8.633333333333333,重庆,64
嫩芽NAYAKA融合川菜,洪崖洞,川菜馆,8.933333333333332,重庆,77
五一路余姐毛血旺,解放碑,川菜馆,7.066666666666666,重庆,48
食色飞白·江湖菜,北滨路,川菜馆,8.7,重庆,88
张记兴隆重庆菜,回龙湾,川菜馆,9.066666666666666,重庆,72
舌尖记忆融合川菜,观音桥,川菜馆,8.8,重庆,65
思味堂私房川菜,财信广场/东方广场,川菜馆,9.0,重庆,88
品胜大牌檔,龙湖/水晶郦城,顺德菜,7.6000000000000005,重庆,133
The Murray美利餐厅,解放碑,茶餐厅,8.666666666666666,重庆,58
金翠河烧鹅餐厅,北城天街/九街,茶餐厅,8.366666666666667,重庆,80
鹅冠,南坪,茶餐厅,7.8999999999999995,重庆,85
香港冰室,南滨路,茶餐厅,8.9,重庆,142
添运来香港点心专门店,南坪,茶餐厅,8.833333333333334,重庆,72
美丽厨餐厅,人和,粤菜馆,8.833333333333334,重庆,318
陈记老油茶,五里店,客家菜,7.966666666666666,重庆,12
锦玉堂,新牌坊,粤菜馆,8.466666666666667,重庆,83
大圈仔滋味研究所,渝北区,粤菜馆,7.866666666666666,重庆,86
正斗,加州花园,粤菜馆,8.033333333333333,重庆,117
Buffy小黄鸭茶楼,杨家坪,茶餐厅,8.766666666666666,重庆,80
Jing Dining Room&Bar 菁餐厅及酒吧,朝天门,粤菜馆,8.133333333333335,重庆,466
靓记港式茶餐厅,解放碑,茶餐厅,8.3,重庆,79
粤小满传统粤菜广式茶点,长嘉汇商圈,粤式茶点,8.266666666666666,重庆,91
汤和好天气,北部新区,粤菜馆,8.866666666666667,重庆,67
鹏阁,解放碑,粤菜馆,9.033333333333333,重庆,506
麟龍閣,北部新区,粤菜馆,8.7,重庆,227
加荷港式茶餐厅,微电园,茶餐厅,7.733333333333333,重庆,82
来龙里餐室,谢家湾,茶餐厅,8.366666666666665,重庆,88
海南丰饭,人和,粤菜馆,8.4,重庆,109
铜锣湾,谢家湾,粤菜馆,8.866666666666667,重庆,122
阿寶香港手工私房菜,大坪,茶餐厅,8.1,重庆,80
禧汤·温养炖汤,星汇两江购物中心,粤菜馆,8.8,重庆,76
虎汕•潮汕卤鹅,大坪,潮汕菜,8.666666666666666,重庆,68
YOUNG艺术餐厅,北部新区,粤菜馆,8.0,重庆,615
瓏粤,财信广场/东方广场,广州菜,8.666666666666666,重庆,108
叉烧大王茶餐厅,大学城,茶餐厅,8.4,重庆,65
旺角大牌档,黄泥塝,潮汕菜,8.1,重庆,79
朕之味,北城天街/九街,潮汕菜,8.633333333333333,重庆,82
和际轩•粤菜餐厅,新牌坊,广州菜,8.166666666666666,重庆,200
蟹爱餐厅,财富中心,粤菜馆,8.566666666666666,重庆,188
红勘港式茶餐厅,星汇两江购物中心,茶餐厅,8.100000000000001,重庆,78
PM潮汐·不止粤菜,南滨路,粤菜馆,8.166666666666666,重庆,125
重庆JW万豪酒店·万豪中餐厅,解放碑,粤菜馆,8.633333333333335,重庆,123
大榊牛腩,大坪,广州菜,8.4,重庆,84
广州超仁茶餐厅,解放碑,茶餐厅,7.8,重庆,51
花城心意·粤菜·粤点,大坪,广州菜,8.333333333333334,重庆,81
美颗秘粽,大坪,粤菜,7.7,重庆,0
鸟仔潮汕海鲜砂锅粥,弹子石,潮汕菜,7.366666666666667,重庆,0
潮粥小马,龙湖时代天街,潮汕菜,7.533333333333334,重庆,0
毋米粥,南滨路,粤菜馆,8.766666666666667,重庆,109
孖生记港式茶餐厅,大学城,茶餐厅,8.299999999999999,重庆,66
沏茶趣打边炉茶餐厅,南滨路,茶餐厅,8.466666666666667,重庆,79
九茗轩精细潮州菜,人和,潮汕菜,7.666666666666667,重庆,496
满多利休闲茶餐厅,杨家坪,茶餐厅,7.8,重庆,62
粤善小厨,巴国城,广州菜,7.466666666666666,重庆,89
广州肠粉王,大坪,粤菜馆,8.333333333333334,重庆,13
老广东地道粤菜,北滨路,粤菜馆,7.966666666666666,重庆,110
老行家食府,人和,广州菜,8.1,重庆,130
蓝调碧玺 粤菜房,北部新区,广州菜,8.0,重庆,130
粤善阁,北部新区,顺德菜,7.766666666666666,重庆,100
食在广州,五里店,粤菜馆,7.5,重庆,36
