商家名,商圈,类型,评分,城市,人均价格
兰心荟,仙林大学城,淮扬菜,8.666666666666666,南京,91
传湌cān家小馆,新街口地区,淮扬菜,8.266666666666667,南京,82
江宴楼,夫子庙地区,淮扬菜,8.766666666666667,南京,292
乐和餐饮,火车站/玄武湖,南京/江浙菜,8.9,南京,132
朵悦精菜馆,奥体中心,南京/江浙菜,8.833333333333334,南京,154
瑭101,奥体中心,淮扬菜,8.733333333333333,南京,106
味庄,新街口地区,苏帮菜,8.633333333333333,南京,54
花迹生态空间,奥体中心,苏浙菜,8.0,南京,258
朱肆金陵菜,大学城,南京/江浙菜,7.966666666666666,南京,96
南京狮子楼,湖南路,南京/江浙菜,7.233333333333333,南京,85
品大三,新街口地区,南京/江浙菜,8.5,南京,81
柏龄茶园食府,南京国际博览中心/元通,淮扬菜,8.866666666666665,南京,182
品大伍·食之道品伍味,江宁滨江开发区,淮扬菜,8.133333333333333,南京,104
唐门小馆,升州路/集庆路,南京/江浙菜,8.399999999999999,南京,74
冯三孃跷脚牛肉,常府街/长白街,川菜馆,8.666666666666668,南京,72
南山翁华香楼,火车站/玄武湖,川菜馆,9.033333333333333,南京,78
独白：为你做川菜,山西路/湖南路,川菜馆,8.2,南京,73
成都娃娃花园餐厅 Garden Restaurant & Lounge,南大/南师大,川菜馆,9.133333333333333,南京,116
牛水煮·功夫水煮牛肉,新街口地区,川菜馆,8.333333333333334,南京,86
太二酸菜鱼,新街口地区,酸菜鱼/水煮鱼,9.033333333333333,南京,93
南山翁新概念川菜,火车站/玄武湖,川菜馆,9.066666666666666,南京,76
茅庐,安德门/小行,川菜馆,8.133333333333333,南京,74
顺兴老茶馆,国际博览中心/元通,川菜馆,8.866666666666667,南京,95
鸡本无敌·炒鸡客江湖菜,新街口地区,川菜馆,8.233333333333333,南京,70
本馨·川菜,艾尚天地/凯润新城,川菜馆,8.5,南京,83
本素·酸菜鱼,安德门/小行,酸菜鱼/水煮鱼,9.066666666666666,南京,88
顺风123,百家湖,川菜馆,8.8,南京,84
辛香汇,新街口地区,川菜馆,8.233333333333334,南京,68
黑皮酸菜鱼,升州路/集庆路,酸菜鱼/水煮鱼,7.766666666666667,南京,51
四川酒家,常府街/长白街,川菜馆,7.8,南京,51
姚鍋鍋超级酸菜鱼,高新区,酸菜鱼/水煮鱼,8.3,南京,72
三猫黑鱼花,南大/南师大,川菜馆,9.0,南京,86
川浦,夫子庙地区,川菜馆,9.166666666666666,南京,92
李记苍蝇馆子·牛蛙·香辣蟹,新街口地区,川菜馆,8.366666666666667,南京,95
本来精品川菜,南京国际博览中心/元通,川菜馆,7.966666666666666,南京,113
英雄谱铁锅牛蛙,浦口区,川菜馆,8.533333333333333,南京,79
望蓉城·古法酸菜鱼,新街口地区,酸菜鱼/水煮鱼,9.133333333333333,南京,85
LOTUS 莲花酒吧 & 成都娃娃,奥体中心,川菜馆,9.066666666666668,南京,177
盛天毛血旺,珠江路沿线,川菜馆,9.0,南京,68
辛香汇·锦里,夫子庙地区,川菜馆,9.133333333333333,南京,73
靓蛙馆,常府街/长白街,干锅/香锅,8.700000000000001,南京,68
渝蛙馆,新街口地区,川菜馆,8.9,南京,95
浅葱小唱,集庆门大街,川菜馆,8.766666666666666,南京,121
杨记隆府,百家湖,川菜馆,9.0,南京,108
精悦蓉,新街口地区,川菜馆,9.066666666666668,南京,83
江边城外烤全鱼,新街口地区,烤鱼,8.833333333333334,南京,92
川天吼,奥体中心,川菜馆,8.966666666666667,南京,144
姚姚酸菜鱼,应天大街/文体路,酸菜鱼/水煮鱼,8.299999999999999,南京,96
鱼酷活力烤鱼,新街口地区,烤鱼,8.633333333333333,南京,90
探鱼,弘阳广场/新一城,烤鱼,9.066666666666666,南京,90
鱼满庭,江浦,烤鱼,9.166666666666666,南京,72
辣当家,瑞金路沿线,川菜馆,7.866666666666667,南京,77
青花椒砂锅鱼,开发区,酸菜鱼/水煮鱼,9.066666666666668,南京,81
红杏酒家,环亚凯瑟琳广场,川菜馆,8.766666666666667,南京,131
胡桃里音乐酒馆,集庆门大街,川菜馆,8.833333333333332,南京,147
蛙小侠,夫子庙地区,干锅/香锅,8.866666666666667,南京,82
成都街头,应天大街/文体路,川菜馆,8.933333333333332,南京,93
陈老斯的店-火夫,常府街/长白街,酸菜鱼/水煮鱼,8.799999999999999,南京,73
虾哥牛蛙,东山镇,干锅/香锅,9.166666666666666,南京,69
有家酸菜鱼,浦口区,酸菜鱼/水煮鱼,8.766666666666667,南京,70
八八餐厅,升州路/集庆路,酸菜鱼/水煮鱼,7.666666666666667,南京,65
新川菜,新街口地区,川菜馆,8.066666666666666,南京,71
十三式重庆江湖菜,火车站/玄武湖,川菜馆,8.9,南京,72
蛙喔·炭烧牛蛙·烧烤,新街口地区,干锅/香锅,9.0,南京,76
半天妖烤鱼,集庆门大街,烤鱼,8.566666666666668,南京,65
醉堂音乐餐厅·古风酒馆,东山镇,川菜馆,7.533333333333334,南京,64
金陵潘师傅纸包鱼,草场门/龙江,烤鱼,8.466666666666667,南京,65
椒燃重庆江湖菜,莫愁湖/水西门,川菜馆,8.4,南京,85
冯六孃跷脚牛肉,大厂,川菜馆,7.5,南京,43
绛云楼,马群街道,川菜馆,8.633333333333333,南京,77
懒生活餐厅,新街口地区,川菜馆,8.833333333333332,南京,102
泛橘音乐餐厅Pan orange music restaurant,南京南站/明发,川菜馆,7.8,南京,80
炉鱼,夫子庙地区,烤鱼,8.933333333333334,南京,77
麻辣盛艳,新街口地区,干锅/香锅,8.833333333333334,南京,61
郑记重庆鸡公煲,凤凰西街,川菜馆,8.833333333333334,南京,55
石上百味,江宁金鹰,川菜馆,9.1,南京,59
川越往事,山西路/湖南路,川菜馆,8.733333333333334,南京,82
bc音乐餐厅,凤凰西街,川菜馆,9.166666666666666,南京,102
猫十九黑鱼花,夫子庙地区,川菜馆,7.633333333333333,南京,0
花好悦园,南大/南师大,川菜馆,9.133333333333333,南京,108
麻三斤川菜馆,应天大街/文体路,川菜馆,8.566666666666666,南京,81
重庆鸡公煲,仙林大学城,川菜馆,8.366666666666665,南京,49
乐见烤鱼,火车站/玄武湖,烤鱼,8.7,南京,79
川鱼坊时尚活鱼馆,胜太路,酸菜鱼/水煮鱼,9.1,南京,86
谢小胖手工酸菜鱼·虾摆龙虾,托乐嘉,酸菜鱼/水煮鱼,9.066666666666668,南京,94
捉鸭记吮指鸭爪爪干锅,弘阳广场/新一城,干锅/香锅,8.533333333333333,南京,65
好人民间小吃,江宁科学园,酸菜鱼/水煮鱼,8.5,南京,41
鱼饪杰烤鱼,仙林大学城,烤鱼,8.566666666666668,南京,74
有鱼·王鼎有鱼,火车站/玄武湖,川菜馆,8.5,南京,105
小小河边鱼,迈皋桥/和燕路,烤鱼,8.766666666666667,南京,76
