商家名,商圈,类型,评分,城市,人均价格
尚品轩盐池羊肉馆,辛家庙,苏浙菜,7.266666666666667,西安,0
水汆羊肉,华清池,苏浙菜,6.900000000000001,西安,30
美豪·丽致酒店,大明宫,浙菜,6.900000000000001,西安,0
陕北好口福羊肉馆,鄠邑区其他,苏浙菜,7.099999999999999,西安,0
福客来大食堂,张家堡,浙菜,6.933333333333334,西安,0
紫金山大酒店餐饮部,玉祥门,淮扬菜,7.0,西安,0
御膳房,小寨,苏浙菜,0.0,西安,47
大别山鹅馆,大兴新区,淮扬菜,6.900000000000001,西安,0
菜帮堂,新城区,本帮江浙菜,7.2,西安,0
秦都酒店中餐厅,安定门,苏浙菜,6.833333333333333,西安,80
小四川土菜馆,三桥,苏浙菜,7.333333333333333,西安,0
杨记隆府,大雁塔,川菜馆,7.466666666666666,西安,91
映水芙蓉,曲江新区,川菜馆,9.066666666666666,西安,90
麻辣小叁,钟楼/鼓楼,干锅/香锅,8.633333333333333,西安,88
山城外老坛酸菜鱼,未央路沿线,酸菜鱼/水煮鱼,8.333333333333334,西安,71
有鱼吃,雁翔路,烤鱼,8.5,西安,60
不二·民谣音乐餐吧,钟楼/鼓楼,川菜馆,8.233333333333334,西安,155
太二酸菜鱼,小寨,酸菜鱼/水煮鱼,9.066666666666668,西安,83
杨三孃跷脚牛肉,丈八,川菜馆,7.8999999999999995,西安,40
牛水煮·功夫水煮牛肉,小寨,川菜馆,8.5,西安,74
舌尖派对四川小吃集,丈八,川菜馆,7.766666666666667,西安,43
八百万堂·设计师中餐厅,小寨,川菜馆,9.066666666666668,西安,79
水煮道麻辣水煮牛肉,交大东校区/理工大,川菜馆,8.966666666666667,西安,78
朝花里青花椒鱼,吉祥村,酸菜鱼/水煮鱼,8.833333333333334,西安,70
倾城瘾食·重庆江湖菜,高新路沿线,川菜馆,8.733333333333333,西安,88
濠戏·生蚝戏江湖,朱宏路,川菜馆,7.333333333333333,西安,0
乐乐餐厅,南院门,川菜馆,6.5,西安,47
唐·宸阁,雁翔路,川菜馆,8.333333333333334,西安,84
辣呦,大雁塔,川菜馆,9.033333333333333,西安,62
姚姚酸菜鱼,郭杜,酸菜鱼/水煮鱼,8.133333333333333,西安,82
呱呱叫民俗风味主题餐厅,秦岭沿线,川菜馆,9.033333333333333,西安,81
耍酒馆,大明宫万达,川菜馆,7.8,西安,87
勿幕·玖里屋顶花园餐厅,钟楼/鼓楼,川菜馆,8.666666666666666,西安,78
九锅一堂,小寨,川菜馆,8.433333333333332,西安,71
辣蜀黍•成都小酒馆,翠华路,川菜馆,8.700000000000001,西安,63
眉州东坡,红庙坡,川菜馆,9.0,西安,94
亭里·川菜,明光路,川菜馆,8.799999999999999,西安,78
陶煲砂煲菜,交大东校区/理工大,川菜馆,7.833333333333333,西安,51
九幺辣子鸡·江湖烧烤,曲江新区,川菜馆,8.299999999999999,西安,67
渝是乎酸菜小鱼,未央路沿线,酸菜鱼/水煮鱼,8.633333333333333,西安,32
老崔烤鱼,东关正街,烤鱼,7.966666666666666,西安,56
鱼酷活力烤鱼,大雁塔,烤鱼,8.700000000000001,西安,88
大辣社会餐厅,南院门,川菜馆,8.7,西安,88
水中天茶十食,光华路,酸菜鱼/水煮鱼,8.966666666666667,西安,125
何小生青花椒鱼,小雁塔,酸菜鱼/水煮鱼,8.633333333333333,西安,66
壹點唐,钟楼/鼓楼,川菜馆,8.9,西安,54
半天妖烤鱼,和平村,烤鱼,8.933333333333334,西安,64
探鱼,丈八,烤鱼,8.4,西安,76
熊猫餐厅·烧烤中餐,唐延路沿线,川菜馆,8.6,西安,61
川宴新派川菜金莎店,小寨,川菜馆,8.5,西安,50
蛙年华鲜锅牛蛙,丈八,干锅/香锅,8.0,西安,64
芳芳餐厅,科技路沿线,川菜馆,7.7,西安,41
虾塘,高新路沿线,川菜馆,8.833333333333334,西安,118
浅葱小唱,红庙坡,川菜馆,8.5,西安,91
三俞竹苑,大雁塔,川菜馆,8.299999999999999,西安,89
惠风雅厨,未央路沿线,川菜馆,9.033333333333333,西安,44
秋金小炒,太华路沿线,川菜馆,8.4,西安,74
酒肉大王•砂锅炖肉,丈八,川菜馆,7.933333333333334,西安,80
咱家纸包鱼,小雁塔,烤鱼,9.1,西安,55
Tang·宸阁,丈八,川菜馆,8.333333333333334,西安,79
苑美厨子·融合餐厅,丈八,川菜馆,8.299999999999999,西安,51
成都饭儿·地道四川菜,浐灞生态区,川菜馆,8.6,西安,47
蓉和居·川小馆,丈八,川菜馆,8.733333333333333,西安,49
小俩口汉中鱼庄.串串香,小寨,酸菜鱼/水煮鱼,8.633333333333335,西安,77
苏福记·21年品质中国川菜,未央路沿线,川菜馆,8.533333333333333,西安,55
胡桃里音乐酒馆,红庙坡,川菜馆,8.799999999999999,西安,114
成都川菜,火车站,川菜馆,7.8999999999999995,西安,47
小四川,唐延路北段,川菜馆,7.866666666666667,西安,57
罗王府·精品川菜,西稍门,川菜馆,7.466666666666666,西安,0
厚厨(樊登读书主题餐厅),航天城,川菜馆,8.233333333333334,西安,41
鱼厂香辣烤鱼,南二环西段,烤鱼,9.066666666666668,西安,69
炉诱·香辣烤鱼,小雁塔,烤鱼,8.6,西安,76
鱼客酸菜鱼十年只做一道菜,未央路沿线,酸菜鱼/水煮鱼,8.4,西安,98
久味熊家麻辣铁锅小馆,民乐园,干锅/香锅,8.8,西安,77
四川大排档,莲湖公园,川菜馆,7.433333333333333,西安,19
罗福记,南大学城,川菜馆,8.299999999999999,西安,54
咪咪川菜,文景路,川菜馆,7.966666666666666,西安,60
秦盐道盐帮菜,航天城,川菜馆,7.966666666666666,西安,79
有家•酸汤鱼,土门,酸菜鱼/水煮鱼,8.5,西安,62
炉鱼,龙首,烤鱼,8.566666666666666,西安,76
张刚生汆丸子新派川菜,红庙坡,川菜馆,7.8,西安,42
鸡遇虾煲,小寨,干锅/香锅,8.366666666666667,西安,47
张氏宽窄巷成都民俗餐厅,未央路沿线,川菜馆,8.666666666666666,西安,39
煮厨餐厅,浐灞生态区,川菜馆,7.433333333333334,西安,132
蜀园,高新路沿线,川菜馆,8.6,西安,89
国人川菜,李家村,川菜馆,7.766666666666667,西安,63
红灯笼川菜,未央路沿线,川菜馆,7.233333333333334,西安,0
九合江湖菜,丈八,川菜馆,8.533333333333333,西安,73
成都颐站,丈八,川菜馆,8.000000000000002,西安,94
南北来小打尖,和平门/建国门,川菜馆,7.466666666666666,西安,44
遇来香鱼馆,小寨,烤鱼,8.533333333333333,西安,54
花椒辣椒川菜故事,韦曲西街,川菜馆,8.1,西安,49
兔头一绝,东门外,川菜馆,8.033333333333333,西安,48
蓉禾里,高新路沿线,川菜馆,8.533333333333333,西安,52
四川会馆,高新路沿线,川菜馆,8.4,西安,175
聚宾楼,唐延路沿线,川菜馆,7.6000000000000005,西安,71
顾畔餐厅,浐灞生态区,川菜馆,7.8999999999999995,西安,94
盐里·道地川菜,红庙坡,川菜馆,7.933333333333334,西安,54
本塘我家酸菜鱼,长乐坊,酸菜鱼/水煮鱼,8.366666666666667,西安,64
大千麻辣鱼,秦岭沿线,酸菜鱼/水煮鱼,7.766666666666666,西安,97
客里麻茬,东三岔,川菜馆,8.533333333333333,西安,53
聚宝盆香辣鱼庄,和平门/建国门,川菜馆,7.566666666666666,西安,72
宁家大院,航天城,川菜馆,7.8,西安,67
玖里28·云顶花园餐厅,高新路沿线,川菜馆,7.966666666666666,西安,90
小谭川菜,紫薇田园都市,川菜馆,7.866666666666667,西安,58
压壹锅,曲江新区,干锅/香锅,8.799999999999999,西安,71
大厨小馆,草堂路,川菜馆,8.3,西安,0
外婆印象,未央路沿线,川菜馆,8.433333333333334,西安,61
川渝人家,电子城,川菜馆,7.866666666666667,西安,54
陈老幺豆花鱼庄,辛家庙,川菜馆,7.733333333333333,西安,82
聚友川陕小厨,大雁塔,川菜馆,7.133333333333333,西安,0
德發興茶冰廳,南大街,茶餐厅,8.5,西安,77
北京厨房,南大街,粤菜馆,9.0,西安,246
點乜好•港式点心专门店,小寨,粤式茶点,8.6,西安,59
唐牛卸甲·牛杂煲,小寨,广州菜,8.133333333333333,西安,72
超点澳门味道,大雁塔,茶餐厅,8.6,西安,87
鹿桃·新粤菜,小寨,粤菜馆,8.6,西安,89
标记粤菜馆,高新路沿线,粤菜馆,8.3,西安,83
牛九牛杂煲,甜水井,广州菜,8.6,西安,73
粤芙中餐厅,曲江新区,粤菜馆,9.033333333333333,西安,283
沐公子•粤味私厨,曲江新区,粤菜馆,8.766666666666666,西安,146
潮十三潮汕砂锅粥,高新路沿线,潮汕菜,8.833333333333334,西安,84
盘谷稻合,高新路沿线,粤菜馆,8.266666666666667,西安,192
威哥美食,南二环西段,茶餐厅,8.433333333333332,西安,98
禾舀煲仔饭·,金花路沿线,粤菜馆,8.966666666666667,西安,25
四季荟,长安路,广州菜,8.533333333333333,西安,227
粤珍轩,西北大/西工大,粤菜馆,7.933333333333333,西安,133
唐华华邑酒店·彩丰楼中餐厅,大雁塔,粤菜馆,8.899999999999999,西安,298
吴记烧腊,小雁塔,烧腊,8.566666666666668,西安,27
绿叶广式烧腊馆,钟楼/鼓楼,烧腊,7.966666666666666,西安,64
威哥花园餐厅,高新路沿线,粤菜馆,8.433333333333335,西安,99
九号餐饮·广式夜茶,丈八,茶餐厅,8.566666666666668,西安,54
上下九广州菜馆,李家村,广州菜,8.333333333333334,西安,73
喜粤8号,太华路沿线,粤菜馆,8.233333333333333,西安,151
西安W酒店·飨艳YEN中餐厅,曲江新区,粤菜馆,8.633333333333333,西安,426
粤港饭店,浐灞生态区,粤菜馆,8.0,西安,95
西安豪享来温德姆至尊酒店雁鸣轩中餐厅,大雁塔,粤菜馆,8.266666666666666,西安,109
潮汕铺,南二环西段,潮汕菜,9.0,西安,81
大香港酒楼,高新路沿线,粤菜馆,7.766666666666667,西安,118
宴南坞·功夫顺德菜,曲江新区,顺德菜,8.066666666666666,西安,106
禾舀煲仔饭,纺织城,粤菜馆,8.700000000000001,西安,24
广东味芝朗私房菜馆,钟楼/鼓楼,广州菜,7.333333333333333,西安,62
亦随园·餐茶馆,文景路,茶餐厅,9.033333333333333,西安,146
周记香港老味,丈八,粤菜馆,8.133333333333333,西安,93
雅记香港老味,科技路沿线,粤菜馆,8.133333333333333,西安,183
六公里·粤式花园餐厅,秦岭沿线,广州菜,8.1,西安,84
西安经开洲际酒店·彩丰楼中餐厅,张家堡,粤菜馆,9.033333333333333,西安,398
绣桥中餐厅,唐延路沿线,粤菜馆,9.066666666666666,西安,332
彩丰楼中餐厅,丈八,粤菜馆,9.1,西安,271
汤厨 廣州菜,丈八,粤菜馆,8.233333333333334,西安,91
香港桥底辣蟹,曲江新区,粤菜馆,8.333333333333334,西安,265
万丽轩·中餐厅,曲江新区,粤菜馆,8.4,西安,245
唐轩阁,文景路,粤菜馆,7.833333333333333,西安,183
