商家名,商圈,类型,评分,城市,人均价格
江记饭店,坑梓/竹坑,苏浙菜,6.900000000000001,深圳,0
青葱餐厅,双龙/南联,苏浙菜,6.900000000000001,深圳,0
红兴饭店,双龙/南联,无锡菜,6.900000000000001,深圳,0
闽旺饭店,双龙/南联,苏浙菜,7.166666666666667,深圳,0
燕鹏公社,李朗聚星商城,苏帮菜,6.866666666666667,深圳,0
麦香三餐美味店,南山中心区,苏浙菜,6.900000000000001,深圳,0
老上海,华为坂田基地,本帮江浙菜,7.0,深圳,0
马旺子川小馆,深圳湾,川菜馆,8.966666666666667,深圳,138
渔语鱼·酸菜鱼新川菜,市中心/会展中心,酸菜鱼/水煮鱼,8.666666666666666,深圳,84
兔槽江湖菜·重庆璧山兔,皇岗,川菜馆,8.700000000000001,深圳,82
鲟龙记•四川料理,车公庙,川菜馆,8.9,深圳,83
榕意·川味之美,市中心/会展中心,川菜馆,9.033333333333333,深圳,108
巴蜀风,科技园,川菜馆,8.966666666666667,深圳,90
椿庐 ChunLounge,华侨城,川菜馆,8.9,深圳,192
探鱼,西乡,烤鱼,8.533333333333333,深圳,99
火胖子肥肠煲,白石洲,川菜馆,7.533333333333334,深圳,76
歌乐人家•辣子鸡,科技园,川菜馆,7.966666666666666,深圳,105
蓉悦·精品川菜,宝安南路沿线,川菜馆,8.233333333333334,深圳,119
山城小聚,西丽,川菜馆,7.466666666666666,深圳,106
川粤时光巷·精品川菜·老广粤菜 ,华强南,川菜馆,8.433333333333335,深圳,105
太二酸菜鱼,宝安中心区,酸菜鱼/水煮鱼,8.366666666666667,深圳,94
辣图·新川菜创意料理,岗厦,川菜馆,8.600000000000001,深圳,90
巽XUN·川馔,海岸城/保利,川菜馆,7.666666666666667,深圳,0
渔夫人·藤椒肥肠鱼,市中心区,川菜馆,8.833333333333334,深圳,103
禄鼎记·多口味酸菜鱼,南油,酸菜鱼/水煮鱼,8.833333333333334,深圳,97
孔雀川菜,科技园,川菜馆,8.166666666666666,深圳,96
董太婆老妈蹄花川菜馆,海岸城,川菜馆,8.166666666666666,深圳,72
盛世盐帮·自贡特色,南油,川菜馆,8.033333333333333,深圳,96
姚姚酸菜鱼,市中心区,酸菜鱼/水煮鱼,8.833333333333334,深圳,84
己麻己辣,宝安南路沿线,川菜馆,7.466666666666666,深圳,78
牛水煮·麻辣水煮牛肉,上沙/下沙,川菜馆,8.533333333333333,深圳,80
叭拾川派老坛酸菜鱼,皇岗,酸菜鱼/水煮鱼,8.633333333333333,深圳,81
渝月,大芬/南岭,川菜馆,9.033333333333333,深圳,72
胡桃里,市中心区,川菜馆,8.433333333333334,深圳,134
鱼小妖,岗头/雪象,川菜馆,8.966666666666667,深圳,76
古原社•炭火干锅,科技园,干锅/香锅,8.366666666666667,深圳,47
掌门人香鹅掌,车公庙,干锅/香锅,8.2,深圳,84
撒椒,科技园,川菜馆,8.333333333333334,深圳,96
蛙小跳,西丽,干锅/香锅,7.633333333333333,深圳,62
川味堂·四川豆花,车公庙,川菜馆,8.1,深圳,62
呼辣圈•精致川菜•烧烤,西丽,川菜馆,8.2,深圳,74
舞辣辣•水煮牛肉,梅林,川菜馆,8.1,深圳,70
炭舍·干锅大王,市中心区,干锅/香锅,8.533333333333333,深圳,93
俩姑凉·重庆芋儿鸡,南油,川菜馆,8.6,深圳,81
辣宴·老坛酸菜鱼,天虹汇一城,酸菜鱼/水煮鱼,8.433333333333334,深圳,78
老房子,宝安中心区,川菜馆,8.266666666666667,深圳,88
蛙三泡椒牛蛙.华南首店,梅林,川菜馆,8.833333333333334,深圳,73
呼辣圈·精致川菜·烧烤,市中心/会展中心,川菜馆,8.666666666666666,深圳,80
六叔柠檬鱼,宝安中心区,川菜馆,8.033333333333333,深圳,88
浅葱小唱·川菜,梅林,川菜馆,8.5,深圳,97
小雲哥·川菜,市中心/会展中心,川菜馆,8.466666666666667,深圳,83
繁 醉花亭小酒馆,新洲/石厦,川菜馆,8.6,深圳,101
缪氏川菜,民治,川菜馆,8.666666666666668,深圳,68
渔见·老坛酸菜鱼·中国菜,西乡,酸菜鱼/水煮鱼,7.566666666666666,深圳,73
几态•小川聚,国贸,川菜馆,7.633333333333333,深圳,132
香亲香爱大烤鱼,梅林,烤鱼,8.133333333333333,深圳,38
蓉城小馆,科技园,川菜馆,8.266666666666667,深圳,80
张氏宽窄巷成都名小吃,宝安中心区,川菜馆,7.666666666666667,深圳,57
水煮鱼乡·川京菜,罗湖区政府,酸菜鱼/水煮鱼,7.766666666666667,深圳,129
久鼎尖椒鸡,南油,川菜馆,7.7,深圳,98
探炉烤鱼,民治,烤鱼,7.5,深圳,96
圆梦胖子肥肠煲,黄贝岭,川菜馆,7.933333333333333,深圳,66
大中华希尔顿酒店·兰亭,市中心/会展中心,川菜馆,8.9,深圳,353
川婆婆酸菜鱼,车公庙,酸菜鱼/水煮鱼,8.333333333333334,深圳,73
蜀都丰·手工水煮活鱼,科技园,川菜馆,8.299999999999999,深圳,92
炉鱼,梅林,烤鱼,8.566666666666668,深圳,78
几态·研鱼食社,西丽,川菜馆,8.600000000000001,深圳,112
勺爷酸菜鱼,车公庙,酸菜鱼/水煮鱼,8.333333333333334,深圳,73
福禄寿·国潮江湖菜,大运,川菜馆,8.033333333333333,深圳,87
蓉和柠檬鱼,华强北,川菜馆,8.0,深圳,83
周渝食惦·酸菜鱼精致川菜,福永,酸菜鱼/水煮鱼,8.666666666666666,深圳,69
记忆正宗川菜馆,华强南,川菜馆,7.366666666666667,深圳,69
炭の将·干锅·烤鱼·荟,西丽,干锅/香锅,8.133333333333333,深圳,58
拾味伴·老坛仔姜蛙,南头,川菜馆,8.200000000000001,深圳,59
渝味肥肠煲,黄贝岭,川菜馆,7.699999999999999,深圳,91
酸渡老坛子酸菜鱼,布吉,酸菜鱼/水煮鱼,8.666666666666666,深圳,83
花起新概念音乐餐厅,民治,川菜馆,7.833333333333333,深圳,72
馋念·烤鱼·烧烤·私房菜,南山中心区,烤鱼,8.566666666666668,深圳,79
山里人·老坛黑鱼,西丽,酸菜鱼/水煮鱼,8.566666666666666,深圳,65
蜀味小调,科技园,川菜馆,8.4,深圳,53
友友山谷,杨梅坑/桔钓沙,川菜馆,8.0,深圳,85
蛙蛙叫,国贸,干锅/香锅,7.8999999999999995,深圳,91
潮香四海·潮汕菜·招牌蚝仔烙,南油,潮汕菜,8.799999999999999,深圳,87
匠传点心,梅林,粤式茶点,8.933333333333332,深圳,89
蘩楼,华强北,粤菜馆,9.1,深圳,91
金牌陶陶居,科技园,粤菜馆,8.866666666666667,深圳,129
利宝阁,市中心/会展中心,粤菜馆,8.799999999999999,深圳,168
点都德,南山中心区,粤式茶点,8.733333333333334,深圳,96
小南记,南头,粤菜馆,7.866666666666667,深圳,110
炳胜品味,市中心区,广州菜,9.0,深圳,307
蔡澜港式点心,海岸城/保利,粤式茶点,8.733333333333333,深圳,94
陈鹏鹏卤鹅饭店·潮汕菜,宝安国际机场,潮汕菜,8.933333333333334,深圳,85
凤凰楼,华强北,粤菜馆,8.166666666666668,深圳,124
小炳胜,海岸城,广州菜,8.4,深圳,128
譽八仙粤菜酒楼,科技园,粤菜馆,8.833333333333334,深圳,162
极浦亭餐厅,梅林,粤菜,8.633333333333333,深圳,99
CHOPCHOP拾舊至尊叉烧,科技园,烧腊,7.733333333333333,深圳,83
渔村·鹏城饭馆,南澳大鹏新区,客家菜,8.533333333333333,深圳,86
头牌啫煲,新洲/石厦,广州菜,7.966666666666666,深圳,111
台山佬黄鳝饭,皇岗,粤菜馆,8.3,深圳,85
陶粥记,梅林,粤菜馆,8.133333333333333,深圳,56
大鸽饭·岭南家院,西乡,粤菜馆,8.866666666666667,深圳,94
普宁陈记食店,华强南,潮汕菜,8.0,深圳,122
海皇廷酒家,民治,粤菜馆,8.566666666666666,深圳,79
大浪潮·潮汕菜·招牌生腌小青龙,荔枝公园片区,潮汕菜,8.233333333333333,深圳,123
靠山·客家菜,市中心/会展中心,客家菜,8.866666666666667,深圳,108
光明招待所,光明,粤菜馆,6.866666666666667,深圳,120
巡味顺德菜,欢乐海岸,顺德菜,8.366666666666667,深圳,128
客语·客家菜,香蜜湖,粤菜馆,8.499999999999998,深圳,93
后街唐厨•品味粤菜,上沙/下沙,广州菜,8.666666666666666,深圳,87
焗楼,南山中心区,粤菜馆,7.900000000000001,深圳,84
先记烧鹅王·本地粤菜,福永,粤菜馆,8.5,深圳,87
利苑酒家,宝安南路沿线,粤菜馆,8.866666666666667,深圳,439
潮汕小厨,市中心区,潮汕菜,8.266666666666666,深圳,104
金皇廷,市中心区,广州菜,8.266666666666667,深圳,115
悦景酒家,黄贝岭,粤菜馆,8.866666666666667,深圳,228
金戈戈香港豉油鸡,海岸城,粤菜馆,8.833333333333334,深圳,96
祝你吉莉ART·创意粤菜,荔枝公园片区,粤菜馆,8.666666666666668,深圳,115
金光鸽王,蛇口,粤菜馆,8.866666666666665,深圳,103
啫嘢·啫啫煲·经典粤菜,上沙/下沙,粤菜馆,7.766666666666666,深圳,89
唐宫,东门商业圈,粤菜馆,8.266666666666666,深圳,118
粤笙记·陈皮花胶鸭,华强北,粤菜馆,8.566666666666668,深圳,90
港裕记·1958烧鹅世家,海岸城/保利,烧腊,7.8999999999999995,深圳,119
珍庭潮州菜,岗厦,潮汕菜,8.633333333333335,深圳,1000
美极鲜食坊,宝安南路沿线,粤菜馆,7.699999999999999,深圳,106
詠藜園,华强北,粤菜馆,8.6,深圳,109
翠园 JADE GARDEN,宝安南路沿线,粤菜馆,9.0,深圳,239
悦得闲广式点心茶楼,皇岗/水围,粤式茶点,7.533333333333334,深圳,81
粤集·粤菜正牌,龙岗中心城区,广州菜,8.233333333333333,深圳,90
莱佛士酒店·云璟 Yun Jing,深圳湾,粤菜馆,8.733333333333333,深圳,1301
亚六潮汕美食,华强南,潮汕菜,7.466666666666666,深圳,95
露两手顺德餐厅,龙华,顺德菜,8.133333333333335,深圳,95
饭聚,皇岗,顺德菜,8.166666666666666,深圳,109
金翠皇宫粤菜·点心·海鲜,科技园,粤菜馆,8.6,深圳,127
丹桂轩,华侨城,粤菜馆,7.933333333333334,深圳,172
广州酒家,华强北,广州菜,8.266666666666666,深圳,178
普语堂·客家菜,华侨城,客家菜,8.066666666666666,深圳,77
襟江酒楼,南头,粤式茶点,7.533333333333334,深圳,82
一肴•牛肉粿条,宝安南路沿线,潮汕菜,7.933333333333333,深圳,57
喜会米芝莲砂锅粥,车公庙,潮汕菜,8.466666666666667,深圳,87
悦满楼·西关名点,新安,粤式茶点,8.799999999999999,深圳,82
东记美食馆,笋岗,粤菜馆,8.366666666666667,深圳,109
五谷芳乳鸽王,大小梅沙,粤菜馆,7.333333333333333,深圳,122
德胜轩正宗顺德菜,沙井,顺德菜,8.2,深圳,139
嘉苑饭店,市中心/会展中心,燕翅鲍,8.933333333333332,深圳,1165
天瑞轩·粤菜餐厅,西丽,粤菜馆,8.966666666666667,深圳,192
揭阳钟记小食,皇岗/水围,粤菜馆,7.466666666666666,深圳,143
老周记茶点,龙华,粤式茶点,7.8999999999999995,深圳,45
深圳柏悦酒店·榕阁,市中心区,粤菜馆,8.833333333333334,深圳,567
广府好点,八卦岭/园岭,粤式茶点,8.6,深圳,77
海叔炆鸭,固戍桃源居,顺德菜,8.4,深圳,36
稻香,市中心区,粤式茶点,7.8,深圳,84
豪林居餐馆·潮汕菜,八卦岭/园岭,潮汕菜,7.933333333333334,深圳,104
银影餐厅,宝安区,粤菜馆,8.1,深圳,78
溢琚閣精品客家菜,科技园,客家菜,8.5,深圳,93
谭厨中山传家菜,蛇口,粤菜馆,8.499999999999998,深圳,123
观海酒家,深圳湾,粤菜馆,8.700000000000001,深圳,542
电白鸭粥,上沙/下沙,粤菜馆,7.7,深圳,60
淡定鸽,市中心/会展中心,粤菜馆,7.966666666666668,深圳,64
蛇口德记烧腊饭店,蛇口,烧腊,7.7,深圳,81
喜荟,华强北,粤菜馆,8.1,深圳,76
揭阳老二粿条汤,荔枝公园片区,潮汕菜,7.533333333333334,深圳,59
唐宫小聚,科技园,粤菜馆,8.299999999999999,深圳,108
港滋味,皇岗,粤菜馆,8.5,深圳,65
粤菜王府·海鲜·茶市,宝安南路沿线,粤菜馆,8.533333333333333,深圳,300
顺意-顺德家乡菜,市中心/会展中心,顺德菜,8.366666666666665,深圳,135
胜记·园林酒家,荔枝公园片区,粤菜馆,7.733333333333334,深圳,193
未名湖会馆,欢乐海岸,粤菜馆,8.133333333333333,深圳,267
清晖小苑·顺德菜,蛇口,顺德菜,7.666666666666667,深圳,100
椒菓.火焰鱼头鸡煲,大运,广州菜,8.866666666666667,深圳,80
金稻园砂锅粥,南油,粤菜馆,8.433333333333334,深圳,114
至正潮菜,深圳湾,粤菜馆,8.600000000000001,深圳,211
大自然醉鹅,西丽,客家菜,7.833333333333333,深圳,97
潮小栈,西乡,潮汕菜,7.533333333333334,深圳,32
国贸旋转餐厅,国贸,粤菜馆,7.599999999999999,深圳,150
臻品鲜粿·粿条世家,皇岗/水围,潮汕菜,8.266666666666667,深圳,43
好蚝味·顺德菜,西乡,顺德菜,8.1,深圳,126
厨皇啫啫煲,皇岗,广州菜,7.1000000000000005,深圳,89
石岐妹祖传玻璃鸽,龙华,粤菜馆,8.166666666666666,深圳,63
渔来生客家菜·鱼生,南油,客家菜,8.466666666666667,深圳,128
